Land Use,Property Address,Sale Date,Sale Price,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath,SaleDT
SINGLE FAMILY,0 E NOCTURNE DR,2016-03-03,110250.0,0.25,3527,11000.0,92300.0,103300.0,1384.0,CRAWL,2008.0,FRAME,C   ,3.0,2.0,0.0,2016-03-03
SINGLE FAMILY,1  PEACH BLOSSOM SQ,2015-08-31,745000.0,0.16,3246,180000.0,338100.0,525200.0,2397.0,CRAWL,1969.0,BRICK,B   ,3.0,2.0,1.0,2015-08-31
SINGLE FAMILY,1  WATERS AVE,2013-08-12,365000.0,0.37,2726,43900.0,249000.0,299600.0,1986.0,PIERS,1930.0,FRAME,B   ,4.0,2.0,0.0,2013-08-12
SINGLE FAMILY,1 FERN  AVE,2016-08-30,275000.0,0.07,3426,8400.0,36200.0,44600.0,680.0,CRAWL,1940.0,FRAME,D   ,1.0,1.0,0.0,2016-08-30
SINGLE FAMILY,1 WATERS  AVE,2016-06-15,465000.0,0.37,2726,43900.0,249000.0,299600.0,1986.0,PIERS,1930.0,FRAME,B   ,4.0,2.0,0.0,2016-06-15
SINGLE FAMILY,10  AGINCOURT WAY,2014-09-12,1025000.0,3.41,9226,431100.0,974000.0,1406200.0,6938.20005,FULL BSMT,2005.0,FRAME,X   ,5.0,5.0,2.0,2014-09-12
SINGLE FAMILY,10  BRIDLEWAY TRL,2016-02-17,1115000.0,2.1,9226,346500.0,819900.0,1166400.0,5456.5,CRAWL,1998.0,BRICK,X   ,4.0,5.0,0.0,2016-02-17
SINGLE FAMILY,10 FERN  AVE,2016-06-24,220000.0,0.16,3426,10500.0,39200.0,52400.0,726.0,CRAWL,1899.0,FRAME,D   ,2.0,1.0,0.0,2016-06-24
SINGLE FAMILY,100  BALLEROY DR,2015-02-25,1750000.0,2.07,9226,350700.0,1590900.0,1941600.0,7735.0,CRAWL,2006.0,BRICK,X   ,5.0,6.0,2.0,2015-02-25
SINGLE FAMILY,100  CLYDELAN CT,2013-07-31,1248000.0,0.67,4327,339300.0,1057100.0,1396400.0,5819.0,PT BSMT,2013.0,BRICK,X   ,5.0,5.0,2.0,2013-07-31
SINGLE FAMILY,100  DEMOSS RD,2016-02-19,333750.0,0.16,3330,35000.0,236200.0,271200.0,2550.0,CRAWL,2000.0,FRAME,C   ,5.0,3.0,0.0,2016-02-19
SINGLE FAMILY,100  ELBERTA ST,2015-10-01,95000.0,0.2,3130,25000.0,94000.0,123400.0,1440.0,CRAWL,1945.0,FRAME,C   ,3.0,1.0,0.0,2015-10-01
